id,ru,en
home2,"Введите слово, чтобы получить список из&nbsp;10&nbsp;его ближайших семантических аналогов (квази-синонимов). <br/>Будет использована модель, обученная на русской Википедии и Национальном корпусе русского языка; другие модели вы можете найти на вкладке <a href=""associates/"">Похожие слова</a>.","Enter a&nbsp;word to&nbsp;produce a&nbsp;list of&nbsp;its 10&nbsp;nearest semantic associates.<br/>English Wikipedia model will be&nbsp;used; for other models, visit <a href=""associates"">Similar Words</a> tab."
home3,Посмотреть эволюцию слова,Trace semantic trajectory!
home4,Семантические ассоциаты для,Semantic associates for
home5,вычисленные на&nbsp;модели,computed&nbsp;on
home7,Крым,Крым
similar1,Семантические сдвиги в русских новостях,Semantic shifts in Russian news
similar2,"Слова меняют значение со временем. Введите русское слово, и ShiftRy покажет его семантическую траекторию по выбранным годам.","Words change their meaning over time. Enter a&nbsp;Russian word, and ShiftRy will show its semantic trajectory across the chosen years."
similar4,Списки изменившихся слов,Lists of shifted words
similar9,Показывать только:,Show only:
similar10,Существительные,Nouns
similar11,Глаголы,Verbs
similar12,Наречия,Adverbs
similar13,Прилагательные,Adjectives
similar14,Все части речи,All of&nbsp;them
similar15,Посмотреть эволюцию слова,Trace semantic trajectory!
similar17,вычислено на&nbsp;модели,computed on&nbsp;data from
similar18,Модели неизвестно слово,The model does not know the word
similar19,Часть речи запроса,Query part of&nbsp;speech
similar20,Имена собственные,Proper names
similar21,Некорректный запрос,Incorrect query
similar22,Некорректный тэг,Incorrect tag
similar23,Нет подходящих результатов,No&nbsp;results
similar28,Пары слов,Word pairs
similar29,Косинусная близость,Cosine similarity
similar30,Нет близких слов с&nbsp;такой частью речи,No&nbsp;similar words with this tag
similar31,История запросов близости,Similarity queries history
similar32,Слова нет в словаре модели; вектор восстановлен из формы слова.,The word is out of model vocabulary; its embedding is inferred from its characters.
similar33,"Ниже вы найдёте списки ближайших ассоциатов этого слова для каждого года. Если в этом году произошел семантический сдвиг (слово резко изменило контексты употребления по сравнению с предыдущим годом), ShiftRy покажет его значимость.","Below, you will find lists of its nearest neighbors in each year, and detected semantic shifts with their degrees (if any)."
similar34,Для каждого слова показана его часть речи (если в модели они размечены).,"Parts of speech are shown for each word, if present in the model."
similar35,Есть сдвиг!,Shift found!
similar36,Сдвига нет.,No shift found.
similar37,Расстояние:,Distance:
similar2010,Новости 2010,News 2010
similar2011,Новости 2011,News 2011
similar2012,Новости 2012,News 2012
similar2013,Новости 2013,News 2013
similar2014,Новости 2014,News 2014
similar2015,Новости 2015,News 2015
similar2016,Новости 2016,News 2016
similar2017,Новости 2017,News 2017
similar2018,Новости 2018,News 2018
similar2019,Новости 2019,News 2019
similar2020,Новости 2020,News 2020
synraw1,"Слова, семантически связанные&nbsp;с",Semantically related words for
synraw2,Какие слова похожи на&nbsp;слово,What words are related&nbsp;to
synraw3,в,in&nbsp;the
synraw4,Показать вектор,Show the raw vector&nbsp;of
synraw5,в&nbsp;модели,in&nbsp;model
synraw6,Поискать,Search
synraw7,в&nbsp;Интернете,in&nbsp;the Internet
synraw8,на&nbsp;Wiktionary,in&nbsp;the Wiktionary
synraw9,О&nbsp;слове,About the word
synraw10,&#8212;&nbsp;визуализация вектора; по&nbsp;клику доступна полноразмерная версия,vector plot; click for full-size image
synraw11,в&nbsp;Википедии,in&nbsp;Wikipedia
synraw12,Это слово в&nbsp;других моделях,This word in&nbsp;other models
synraw13,в&nbsp;НКРЯ,in&nbsp;the RNC
synraw14,частота в корпусе,occurrences in the corpus
synraw15,часть речи, part of speech
synraw16,Семантическая траектория слова,Semantic trajectory of
visual1,Визуализация семантических связей между словами,Visualizing word inter-relations
visual2,Введите cлова через запятую. Мы&nbsp;построим карту их&nbsp;взаимного расположения в&nbsp;выбранной модели/моделях и&nbsp;отобразим двумерную проекцию этой карты (из&nbsp;векторного пространства высокой размерности).,"Enter a&nbsp;comma-separated list of&nbsp;words. We&nbsp;will build a&nbsp;map of&nbsp;their inter-relations in&nbsp;the chosen model(s), and return 2-dimensional version of&nbsp;this map (projected from high-dimensional vector space)."
visual3,Визуализация взаимного расположения слов,Visual representation of&nbsp;word relations
visual4,Следующие слова неизвестны модели:,The following words were unknown to&nbsp;the model:
visual5,&#8212;&nbsp;это алгоритм снижения размерности и&nbsp;визуализации высокоразмерных данных. Он&nbsp;разработан Лоренсом ван дер Маатеном и&nbsp;описан в&nbsp;этой статье:,"is&nbsp;an&nbsp;algorithm for dimensionality reduction and visualization of&nbsp;high-dimensional datasets, developed by&nbsp;Laurens van der Maaten and described in&nbsp;this paper:"
visual6,Визуализация отношений между словами; по&nbsp;клику доступна полноразмерная версия,Plot for word relations; click for full-size image
visual7,"прогресс,свобода,порядок,государство,традиция,консерватизм,либерализм,общество,право,личность","прогресс,свобода,порядок,государство,традиция,консерватизм,либерализм,общество,право,личность"
visual8,Слишком мало слов,Too few words
visual9,Слова не&nbsp;должны повторяться,Words must be&nbsp;unique
visual10,"Для каких годов вы хотите построить визуализации?","What years do you need visualizations from?"
visual15,Визуализировать,Visualize
visual16,Визуализация,Visualization
visual17,вычислено на&nbsp;модели,computed on&nbsp;data from
visual22,Визуализировать в&nbsp;TensorFlow Projector,Visualize in&nbsp;TensorFlow Projector
visual23,Показать трёхмерную проекцию взаимного расположения выбранных слов в&nbsp;TensorFlow Projector от&nbsp;Google,Show 3D&nbsp;projection of&nbsp;the chosen words in&nbsp;Google&#8217;s TensorFlow Projector
visual24,"Вы&nbsp;можете добавлять новые группы слов кнопкой &#8217;(+)&#8217;; они отобразятся на&nbsp;визуализации разными цветами (если группа одна, цвета соответствуют частям речи). Оптимальное общее количество слов&nbsp;&#8212; от&nbsp;7&nbsp;до&nbsp;20.","You can add new groups of&nbsp;words with the &#8217;(+)&#8217; button. They will be&nbsp;visualized with different colors (if&nbsp;there is&nbsp;only 1&nbsp;group, the colors marks parts of&nbsp;speech). Optimal total number of&nbsp;words is&nbsp;from 7&nbsp;to&nbsp;20."
visual25,Выберите способ визуализации,Choose the method of visualization
frequency1,Частотность слова:,Word frequency:
frequency2,Высокая,High
frequency3,Средняя,Medium
frequency4,Низкая,Low
frequency5,Высокочастотные слова: доля в корпусе выше 0.0001,Very frequent words: corpus ratio higher than 0.0001
frequency6,Среднечастотные слова: доля в корпусе от 0.00005 до 0.0001,Mid-frequent words: corpus ratio from 0.00005 to 0.0001
frequency7,Низкочастотные слова: доля в корпусе ниже 0.00005,Rare words: corpus ratio less than 0.00005
pairwise1,Извлечение семантических сдвигов,Semantic shifts extraction
pairwise2,Первый год,First year
pairwise3,Второй год,Second year
pairwise4,Найти сдвиги,Find shifts
pairwise5,Выберите 2 года:,Choose 2 years:
pairwise6,Части речи:,Parts of speech:
pairwise7,Все части речи,All parts of speech
pairwise8,"Выберите из списка два временных периода, чтобы найти слова, употребление которых изменилось особенно сильно.",Select two time periods to learn which words have experienced most significant change in usage.
pairwise9,Найти наиболее изменившиеся слова,Find words that shifted most
pairwise10,10 самых изменившихся слов,10 most shifted words
pairwise11,Число -- это косинусная близость между векторами слова в двух выбранных временных периодах,The number denotes cosine similarity between the word vectors in two chosen time periods
pairwise12,Вы должны выбрать ровно 2 года, ни больше, ни меньше!,Choose exactly 2 years!
binary0,"Классификатор сдвигов определяет, произошел ли сдвиг в значении выбранного слова между двумя выбранными годами.",The shift classifier tries to detect whether your query word has experienced a semantic shift within the chosen pair of years.
binary1,Классификация семантических сдвигов,Semantic shifts classification
binary2,Введите слово:,Enter your word:
binary3,Классифицировать,Classify
binary4,Это слово не претерпело значительных изменений в,This word has experienced no significant usage shifts in
binary5,У этого слова изменились контексты использования в,This word has experienced a usage shift in
binary6,Уровень непохожести слова в выбранных моделях:,Difference in word meaning across the chosen models:
binary8,Нельзя выбрать две одинаковые модели!,You cannot chose the same models!
binary9,Примеры из корпуса для слова ,Contexts from corpora for the word
binary10,Примеры из корпуса для этого слова не закэшированы. Вы хотите всё равно найти их? Поиск может занять от 30 до 60 секунд.,Contexts from corpora for this word are not cached. Do you want to see them anyway? Searching can take from 30 to 60 seconds.
binary11,Найти примеры!,Look up contexts!
binary12,пенсионный,пенсионный
